
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000673                       # Number of seconds simulated (Second)
simTicks                                    673060500                       # Number of ticks simulated (Tick)
finalTick                                   673060500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      2.81                       # Real time elapsed on the host (Second)
hostTickRate                                239835714                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     667856                       # Number of bytes of host memory used (Byte)
simInsts                                      1000000                       # Number of instructions simulated (Count)
simOps                                        1644767                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   356326                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     586072                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          1346122                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.346122                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.742875                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         1722538                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       72                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        1674743                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    115                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                77764                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            237795                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  42                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             1304940                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.283387                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.193764                       # Number of insts issued each cycle (Count)
system.cpu.fpInstQueueWrites                     2095                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses             1558                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                     1680083                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                         1673                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numSquashedInsts                      1129                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.timesIdled                             346                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           41182                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.MemDepUnit__0.insertedLoads         323457                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores        112659                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads       305868                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores       100291                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups                   91018                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted             78669                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect              1604                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups                64768                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBUpdates                  739                       # Number of BTB updates (Count)
system.cpu.branchPred.BTBHits                   63905                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.986676                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                    2679                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                  0                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups            2496                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits               2240                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses              256                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted           67                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts           77662                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls              30                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts              1399                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples      1294235                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     1.270841                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     1.403690                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0          379293     29.31%     29.31% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1          538959     41.64%     70.95% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2          197720     15.28%     86.23% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3          101445      7.84%     94.06% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4           49690      3.84%     97.90% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5            1310      0.10%     98.01% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6            2328      0.18%     98.19% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7            1165      0.09%     98.28% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8           22325      1.72%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
